Scenario,Relationship,Seriousness,Tone,Excuse_Text,Believability_Score
Forgot birthday,Friend,Low,Casual,"I'm so sorry, but I got stuck in a Netflix loop and lost track of reality... including your birthday.",1
Cancelled date,Romantic,Low,Emotional,"I was planning on surprising you with tickets to your favorite band's concert tonight, but my boss suddenly asked me to cover an urgent project meeting at 5 pm and I can't leave the office until it's done.",1
Missed exam,Academic,High,Apologetic,"I was in a car accident on the way to campus and was shaken up, making it difficult for me to focus on anything else afterwards.",3
Forgot anniversary,Romantic,High,Apologetic,I've been working on a surprise gift for you and got so caught up in the excitement of giving it to you that the date slipped my mind.,5
Cancelled date,Romantic,Low,Apologetic,"I'm really sorry, but my car broke down and I won't be able to make it tonight - I know it's last-minute, but I was counting on you for a ride!",3
Didn’t attend family dinner,Family,Low,Casual,"I was running a bit behind schedule and didn't want to be late again, so I grabbed some leftovers for later instead.",2
Cancelled plans,Friend,High,Emotional,"I'm so sorry, but I have to cancel our plans tonight because my grandmother passed away and the family is in shock.",5
Forgot anniversary,Romantic,Medium,Emotional,"Your mom called me at 5 am and we got caught up talking about her surgery, it completely threw me off and I forgot everything else.",4
Cancelled plans,Friend,Medium,Apologetic,My flight got cancelled due to bad weather and now I have to figure out how to get back home as soon as possible.,3
Cancelled date,Romantic,Low,Casual,"I was hoping we could reschedule, but my family is having an emergency meeting tonight and I need to be there for support.",3
Missed family event,Family,High,Emotional,"I received some unexpected news from work that required my immediate attention, and I wasn't able to leave the office in time.",3
Missed family event,Family,High,Formal,"The train was delayed due to technical issues and by the time I arrived at the station, it was too late to make it to the event.",3
Didn’t attend family dinner,Family,Medium,Apologetic,I was stuck in a meeting that ran way longer than expected and I didn't want to be rude by leaving mid-conference.,4
Missed meeting,Professional,Low,Formal,I was dealing with an unexpected family emergency that required my immediate attention.,1
Missed family event,Family,High,Apologetic,"I'm deeply sorry that I missed our family reunion, but bad weather forced us to take an unexpected detour and we didn't make it back in time.",3
Missed family event,Family,Low,Emotional,"I'm truly sorry about missing the family game night, I got caught up in a project at work and lost track of time before I knew it was already past bedtime.",2
Late project submission,Professional,High,Emotional,"I was stuck in a meeting that lasted way longer than expected, and when I finally got out, I was exhausted and didn't have the energy to work on this project.",5
Didn’t attend family dinner,Family,Low,Emotional,"The power went out at my place and I was stuck waiting for the repair guys, no way to leave the house in the dark.",1
Missed family event,Family,High,Emotional,"I was dealing with a personal matter that needed my focus, and I just didn't have the mental energy to deal with anything else.",5
Missed family event,Family,Low,Apologetic,"I got held up at the store trying to find a gift for you and completely forgot about the family gathering, I'm really sorry about that.",2
Missed family event,Family,Low,Emotional,"I feel awful that I wasn't there to join in the fun, my phone battery died and I couldn't get it charged in time to make a call or send a text.",3
Missed family event,Family,Medium,Formal,"I was caught up in a sudden downpour and got stuck in the rain, making it too late for me to arrive at your place.",3
Forgot birthday,Friend,Medium,Casual,"I was out of town on a quick trip and didn't have access to my phone or computer, so I couldn't even check social media.",4
Missed family event,Family,Medium,Casual,I had a family emergency that popped up out of nowhere and took priority.,4
Missed meeting,Professional,Medium,Emotional,"A heavy storm rolled in unexpectedly, causing power outages and flooding that made it impossible for me to commute to the office.",4
Missed exam,Academic,Medium,Apologetic,"I had a sudden onset of food poisoning from something I ate the night before and was in no condition to take an exam, I apologize for the inconvenience.",2
Forgot birthday,Friend,Medium,Casual,Here are ten different excuses for forgetting someone's birthday:,4
Forgot birthday,Friend,Medium,Apologetic,"To be honest, my mom has been going through some tough times and my mind's been preoccupied with supporting her during this challenging period.",2
Cancelled date,Romantic,Medium,Formal,"I've come down with a nasty cold and don't want to risk getting you sick, so I think it's best if we reschedule for another time.",4
Cancelled date,Romantic,Low,Apologetic,"I apologize, but I just remembered I have a crazy appointment with a contractor that can't be rescheduled â€“ it's the only window of time he has available for the next week!",2
Late to class,Academic,High,Casual,"I was waiting for a ride from someone who was running behind schedule, and they finally showed up just as class was about to start.",3
Missed family event,Family,High,Emotional,"My phone died, and I wasn't able to charge it in time, so I couldn't receive any messages or calls until later.",5
Didn’t attend family dinner,Family,High,Emotional,"I was stuck in traffic and couldn't get there on time, Mom.",3
Missed meeting,Professional,Low,Casual,"There was an unexpected power outage at my apartment building this morning, and it took them forever to get everything sorted out â€“ didn't leave me much time to get to the meeting.",3
Missed family event,Family,Medium,Apologetic,"Unfortunately, my car broke down on the way there and I didn't have a backup plan to get you.",3
Missed family event,Family,Low,Casual,I was stuck in traffic and didn't make it out of the office on time.,2
